RecordId,Timestamp,socket0-package-power
437,11:21:18:141,   35.96
438,11:21:18:241,   35.73
439,11:21:18:341,   35.96
440,11:21:18:441,   35.78
441,11:21:18:541,   36.65
442,11:21:18:641,   35.90
443,11:21:18:741,   35.93
444,11:21:18:841,   36.15
445,11:21:18:941,   35.45
446,11:21:19:041,   36.12
447,11:21:19:141,   35.97
448,11:21:19:241,   36.64
449,11:21:19:341,   36.20
450,11:21:19:441,   35.68
451,11:21:19:541,   50.59
452,11:21:19:641,   63.41
453,11:21:19:741,   62.98
454,11:21:19:841,   62.99
455,11:21:19:941,   63.01
456,11:21:20:041,   62.78
457,11:21:20:141,   63.67
458,11:21:20:241,   63.55
459,11:21:20:341,   63.33
460,11:21:20:441,   63.35
461,11:21:20:541,   62.79
462,11:21:20:641,   63.60
463,11:21:20:741,   63.80
464,11:21:20:841,   63.24
465,11:21:20:941,   63.04
466,11:21:21:041,   62.44
467,11:21:21:141,   63.36
468,11:21:21:241,   63.34
469,11:21:21:341,   63.07
470,11:21:21:441,   63.21
471,11:21:21:541,   63.34
472,11:21:21:641,   62.56
473,11:21:21:741,   63.13
474,11:21:21:841,   63.15
475,11:21:21:941,   63.14
476,11:21:22:041,   63.12
477,11:21:22:141,   62.61
478,11:21:22:241,   63.13
479,11:21:22:341,   63.18
480,11:21:22:441,   63.36
481,11:21:22:541,   63.28
482,11:21:22:641,   62.61
483,11:21:22:741,   63.21
484,11:21:22:841,   63.16
485,11:21:22:941,   63.18
486,11:21:23:041,   63.15
487,11:21:23:141,   62.63
488,11:21:23:241,   63.18
489,11:21:23:341,   63.18
490,11:21:23:441,   63.15
491,11:21:23:541,   63.34
492,11:21:23:641,   62.74
493,11:21:23:741,   63.26
494,11:21:23:841,   63.24
495,11:21:23:941,   63.25
496,11:21:24:041,   63.26
497,11:21:24:141,   63.33
498,11:21:24:241,   62.53
499,11:21:24:341,   63.18
500,11:21:24:441,   63.52
501,11:21:24:541,   63.35
502,11:21:24:641,   63.77
503,11:21:24:741,   62.68
504,11:21:24:841,   63.49
505,11:21:24:941,   63.30
506,11:21:25:041,   64.19
507,11:21:25:141,   63.69
508,11:21:25:241,   62.76
509,11:21:25:341,   63.48
510,11:21:25:441,   63.97
511,11:21:25:541,   64.02
512,11:21:25:641,   63.89
513,11:21:25:741,   62.84
514,11:21:25:841,   63.21
515,11:21:25:941,   63.20
516,11:21:26:041,   63.23
517,11:21:26:141,   63.54
518,11:21:26:241,   63.20
519,11:21:26:341,   62.58
520,11:21:26:441,   63.18
521,11:21:26:541,   63.23
522,11:21:26:641,   63.33
523,11:21:26:741,   63.24
524,11:21:26:841,   62.68
525,11:21:26:941,   63.26
526,11:21:27:041,   63.22
527,11:21:27:141,   63.37
528,11:21:27:241,   63.22
529,11:21:27:341,   62.60
530,11:21:27:441,   63.34
531,11:21:27:541,   63.41
532,11:21:27:641,   63.38
